id,digit,anio,mes,fecha,municipio,zona,calles,inmueble,oferta,sup lote,sup constr,dormitorios,banios,garaje,nueva,costo total,repetidos,especiales,observaciones,s_mun,s_ofer,s_inm,s_dorm,s_ban,s_neo,s_lot,s_const,S_PRECIO,SL,SC,PRECIO,PLOTE,PCONST,PCOMT,PLTMT,base
1289,rld,2012,10,7,Cochabamba,norte,dpto el mirador,Departamento,Dueño,,170,,,1,0,,,0,,cb,dueno,depto,NE,ne,ne,ne,169-272,ne,0,1,0,0,0,,,2.00
1290,rld,2012,10,7,Cochabamba,norte,ed EOS av beiging y ahenke,Departamento,Dueño,,90,3,2,,0,,,0,,cb,dueno,depto,3,1-2,ne,ne,52-126,ne,0,1,0,0,0,,,2.00
1291,rld,2012,10,7,Cochabamba,norte,cond atlantic a 1 cuadra beiging,Departamento,Dueño,,,3,,1,1,,,0,,cb,dueno,depto,3,ne,nueva,ne,ne,ne,0,0,0,0,0,,,2.00
1293,rld,2012,10,7,Cochabamba,norte,dpto ed mirador,Departamento,Dueño,,,,,,0,,,0,,cb,dueno,depto,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1294,rld,2012,10,7,Cochabamba,norte,dpto beiging y america,Departamento,Dueño,,160,,,,1,90000,,0,,cb,dueno,depto,NE,ne,nueva,ne,127-168,82-130,0,1,1,0,1,562.5,,2.00
1295,rld,2012,10,7,Cochabamba,norte,dpto cerca univ catolica,Departamento,Dueño,,100,,,,1,55000,,0,,cb,dueno,depto,NE,ne,nueva,ne,52-126,11-82,0,1,1,0,1,550,,2.00
1296,rld,2012,10,7,Cochabamba,norte,dpto beiging y america,Departamento,Dueño,,200,,,,1,120000,,0,,cb,dueno,depto,NE,ne,nueva,ne,169-272,82-130,0,1,1,0,1,600,,2.00
1297,rld,2012,10,7,Cochabamba,norte,dpto z. sarco batallon colorados,Departamento,Dueño,,123,3,,1,0,83600,,0,,cb,dueno,depto,3,ne,ne,ne,52-126,82-130,0,1,1,0,1,679.6747967,,2.00
1298,rld,2012,10,7,Cochabamba,centro,dpto cerca umss,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1299,rld,2012,10,7,Cochabamba,centro,dpto z. col la salle,Departamento,Dueño,,172,4,,1,0,,,0,,cb,dueno,depto,4,ne,ne,ne,169-272,ne,0,1,0,0,0,,,2.00
1300,rld,2012,10,7,Cochabamba,norte,dpto c tarija,Departamento,Dueño,,,,,,0,,,0,,cb,dueno,depto,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1301,rld,2012,10,7,Cochabamba,norte,dpto c tarija,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1302,rld,2012,10,7,Cochabamba,norte,dpto juan de la rosa,Departamento,Dueño,,,4,3,1,0,,,0,,cb,dueno,depto,4,3+,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1303,rld,2012,10,7,Cochabamba,norte,dpto barrio el profesional,Departamento,Dueño,,,2,1,1,0,,,0,,cb,dueno,depto,1-2,1-2,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1304,rld,2012,10,7,Cochabamba,centro,dpto el prado,Departamento,Dueño,,240,,,,0,,,0,,cb,dueno,depto,NE,ne,ne,ne,169-272,ne,0,1,0,0,0,,,2.00
1305,rld,2012,10,7,Cochabamba,norte,dpto simon lopez,Departamento,Dueño,,,,,,0,,,0,amoblado,cb,dueno,depto,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1308,rld,2012,10,7,Cochabamba,este,dpto inm sombrero de chola,Departamento,Dueño,,178,4,3,1,0,148000,,0,baulera,cb,dueno,depto,4,3+,ne,ne,169-272,130-194,0,1,1,0,1,831.4606742,,2.00
1309,rld,2012,10,7,Cochabamba,norte,dpto av aniceto padilla,Departamento,Dueño,,,4,,,0,76500,,0,,cb,dueno,depto,4,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1310,rld,2012,10,7,Cochabamba,norte,dpto inm univ catolica,Departamento,Dueño,,95,3,,,0,68000,,0,,cb,dueno,depto,3,ne,ne,ne,52-126,11-82,0,1,1,0,1,715.7894737,,2.00
1311,rld,2012,10,7,Cochabamba,norte,dpto inm univ catolica,Departamento,Dueño,,,2,,,1,,,0,,cb,dueno,depto,1-2,ne,nueva,ne,ne,ne,0,0,0,0,0,,,2.00
1312,rld,2012,10,7,Cochabamba,norte,ed torre viena c. eudoro galindo y america,Departamento,Dueño,,,1,,,0,,,0,,cb,dueno,depto,1-2,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1313,rld,2012,10,7,Cochabamba,norte,dpto av america y sta cruz,Departamento,Dueño,,60,,,,1,,,0,,cb,dueno,depto,NE,ne,nueva,ne,52-126,ne,0,1,0,0,0,,,2.00
1314,rld,2012,10,7,Cochabamba,norte,dpto cond los olivos cruce taquiña,Departamento,Dueño,,,3,,1,0,50000,,0,,cb,dueno,depto,3,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1315,rld,2012,10,7,Cochabamba,norte,cond palmetto av beiging,Departamento,Dueño,,,3,,,0,57000,,0,,cb,dueno,depto,3,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1316,rld,2012,10,7,Cochabamba,norte,dpto c. man cesped,Departamento,Dueño,,140,3,,,1,,,0,,cb,dueno,depto,3,ne,nueva,ne,127-168,ne,0,1,0,0,0,,,2.00
1317,rld,2012,10,7,Cochabamba,norte,ed la fuente,Departamento,Dueño,,,3,,,1,79000,,0,,cb,dueno,depto,3,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
1318,rld,2012,10,7,Cochabamba,norte,ed torres sofer av oquendo,Departamento,Dueño,,,2,,,1,68000,,0,,cb,dueno,depto,1-2,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
1319,rld,2012,10,7,Cochabamba,norte,dpto barrio el profesional,Departamento,Dueño,,117,3,,1,1,63000,,0,,cb,dueno,depto,3,ne,nueva,ne,52-126,11-82,0,1,1,0,1,538.4615385,,2.00
1321,rld,2012,10,7,Sacaba,sacaba,dpto en cond km 2,Departamento,Dueño,,,,,,0,,,0,,sac,dueno,depto,NE,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1322,rld,2012,10,7,Cochabamba,sarco,dpto c. irigoyen y moyo,Departamento,Dueño,,100,,,,0,72000,,0,,cb,dueno,depto,NE,ne,ne,ne,52-126,11-82,0,1,1,0,1,720,,2.00
1323,rld,2012,10,7,Cochabamba,norte,dpto av america y tupac amaru,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1324,rld,2012,10,7,Cochabamba,norte,dpto plaza constitucion,Departamento,Dueño,,180,,,,1,,,0,,cb,dueno,depto,NE,ne,nueva,ne,169-272,ne,0,1,0,0,0,,,2.00
1325,rld,2012,10,7,Cochabamba,norte,dpto c. beni y av sta cruz,Departamento,Dueño,,,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1326,rld,2012,10,7,Quillacollo,quillacollo,dpto prox seminario,Departamento,Dueño,,,3,,1,0,70000,,0,baulera,qllo,dueno,depto,3,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1328,rld,2012,10,7,Cochabamba,norte,dpto ed atlantic prox beiging,Departamento,Dueño,,,3,,1,1,55000,,0,,cb,dueno,depto,3,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
1329,rld,2012,10,7,Cochabamba,norte,dpto av tadeo ahenque,Departamento,Dueño,,,4,,,1,57500,,0,,cb,dueno,depto,4,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
1330,rld,2012,10,7,Cochabamba,sarco,dpto,Departamento,Dueño,,,3,,,0,44000,,0,baulera,cb,dueno,depto,3,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1331,rld,2012,10,7,Cochabamba,centro,dpto 16 de julio y ecuador,Departamento,Dueño,,,,,1,1,,,0,,cb,dueno,depto,NE,ne,nueva,ne,ne,ne,0,0,0,0,0,,,2.00
1332,rld,2012,10,7,Cochabamba,norte,dpto av santa cruz,Departamento,Dueño,,210,4,,1,0,,,0,baulera,cb,dueno,depto,4,ne,ne,ne,169-272,ne,0,1,0,0,0,,,2.00
1333,rld,2012,10,7,Cochabamba,norte,penthouse recoleta,Departamento,Dueño,,335,3,,1,0,235000,,0,baulera,cb,dueno,depto,3,ne,ne,ne,273+,194+,0,1,1,0,1,701.4925373,,2.00
1334,rld,2012,10,7,Cochabamba,norte,dpto recoleta,Departamento,Dueño,,245,3,,1,0,210000,,0,baulera,cb,dueno,depto,3,ne,ne,ne,169-272,194+,0,1,1,0,1,857.1428571,,2.00
1335,rld,2012,10,7,Cochabamba,norte,dpto av america oeste,Departamento,Dueño,,245,3,,1,0,185000,,0,baulera,cb,dueno,depto,3,ne,ne,ne,169-272,130-194,0,1,1,0,1,755.1020408,,2.00
1336,rld,2012,10,7,Cochabamba,norte,dpto av america,Departamento,Dueño,,250,,,,0,185000,,0,,cb,dueno,depto,NE,ne,ne,ne,169-272,130-194,0,1,1,0,1,740,,2.00
1337,rld,2012,10,7,Cochabamba,norte,dpto ed torre america terrado,Departamento,Dueño,,166,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,127-168,ne,0,1,0,0,0,,,2.00
1338,rld,2012,10,7,Cochabamba,norte,dpto ed torre america terrado,Departamento,Dueño,,116,2,,,0,,,0,,cb,dueno,depto,1-2,ne,ne,ne,52-126,ne,0,1,0,0,0,,,2.00
1339,rld,2012,10,7,Cochabamba,norte,dpto ed torre america terrado,Departamento,Dueño,,52,1,,,0,,,0,,cb,dueno,depto,1-2,ne,ne,ne,52-126,ne,0,1,0,0,0,,,2.00
1340,rld,2012,10,7,Cochabamba,norte,dpto plazuela cala cala,Departamento,Dueño,,,3,,,1,59000,,0,,cb,dueno,depto,3,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
1341,rld,2012,10,7,Cochabamba,norte,dpto av villarroel,Departamento,Dueño,,,4,,,0,,,0,,cb,dueno,depto,4,ne,ne,ne,ne,ne,0,0,0,0,0,,,2.00
1342,rld,2012,10,7,Cochabamba,norte,dpto av america,Departamento,Dueño,,500,3,,,0,,,0,,cb,dueno,depto,3,ne,ne,ne,273+,ne,0,1,0,0,0,,,2.00
1343,rld,2012,10,7,Cochabamba,norte,dpto av beiging y juan de la rosa,Departamento,Dueño,,,,,,1,59000,,0,,cb,dueno,depto,NE,ne,nueva,ne,ne,11-82,0,0,1,0,0,,,2.00
1344,rld,2012,10,7,Cochabamba,centro,dpto c. junin,Departamento,Dueño,,,,,,0,56000,,0,,cb,dueno,depto,NE,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1346,rld,2012,10,7,Cochabamba,norte,dpto prox IC america,Departamento,Dueño,,,,,,0,80000,,0,,cb,dueno,depto,NE,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1347,rld,2012,10,7,Cochabamba,centro,dpto junin y la paz,Departamento,Dueño,,126,2,,,0,61000,,0,,cb,dueno,depto,1-2,ne,ne,ne,52-126,11-82,0,1,1,0,1,484.1269841,,2.00
1348,rld,2012,10,7,Cochabamba,norte,dpto av tadeo ahenque,Departamento,Dueño,,143,3,,1,1,85000,,0,,cb,dueno,depto,3,ne,nueva,ne,127-168,82-130,0,1,1,0,1,594.4055944,,2.00
1349,rld,2012,10,7,Cochabamba,norte,dpto ed concordia lanza y salamaca,Departamento,Dueño,,168,3,,1,0,120000,,0,,cb,dueno,depto,3,ne,ne,ne,127-168,82-130,0,1,1,0,1,714.2857143,,2.00
1350,rld,2012,10,7,Cochabamba,norte,penthouse parque lincoln,Departamento,Inmobiliaria,,237,4,,,1,140000,,0,,cb,otro,depto,4,ne,nueva,ne,169-272,130-194,0,1,1,0,1,590.7172996,,2.00
1351,rld,2012,10,7,Cochabamba,norte,dpto cala cala,Departamento,Inmobiliaria,,,,,,0,108000,,0,con baulera y amoblado,cb,otro,depto,NE,ne,ne,ne,ne,82-130,0,0,1,0,0,,,2.00
1352,rld,2012,10,7,Cochabamba,norte,dpto el prado,Departamento,Inmobiliaria,,168,,,,1,116000,,0,,cb,otro,depto,NE,ne,nueva,ne,127-168,82-130,0,1,1,0,1,690.4761905,,2.00
1353,rld,2012,10,7,Cochabamba,norte,dpto inm UPAL,Departamento,Inmobiliaria,,108,3,2,,0,80000,,0,,cb,otro,depto,3,1-2,ne,ne,52-126,11-82,0,1,1,0,1,740.7407407,,2.00
1354,rld,2012,10,7,Cochabamba,centro,dpto 16 de julio y ecuador,Departamento,Inmobiliaria,,136,3,,,0,95000,,0,,cb,otro,depto,3,ne,ne,ne,127-168,82-130,0,1,1,0,1,698.5294118,,2.00
1356,rld,2012,10,7,Cochabamba,norte,dpto barrio militar america oeste,Departamento,Dueño,,126,,,,1,76000,,0,,cb,dueno,depto,NE,ne,nueva,ne,52-126,11-82,0,1,1,0,1,603.1746032,,2.00
1357,rld,2012,10,7,Cochabamba,norte,dpto stadium,Departamento,Dueño,,202,4,3,1,0,158000,,0,baulera,cb,dueno,depto,4,3+,ne,ne,169-272,130-194,0,1,1,0,1,782.1782178,,2.00
1358,rld,2012,10,7,Cochabamba,sarco,dpto prox hipermaxi,Departamento,Dueño,,,3,,1,0,93000,,0,,cb,dueno,depto,3,ne,ne,ne,ne,82-130,0,0,1,0,0,,,2.00
1359,rld,2012,10,7,Cochabamba,norte,dpto ramon rivero,Departamento,Inmobiliaria,,,2,,1,0,62400,,0,,cb,otro,depto,1-2,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1360,rld,2012,10,7,Cochabamba,norte,dpto queru queru,Departamento,Inmobiliaria,,175,3,,1,0,149500,,0,,cb,otro,depto,3,ne,ne,ne,169-272,130-194,0,1,1,0,1,854.2857143,,2.00
1361,rld,2012,10,7,Cochabamba,norte,dpto plazuela 4 de noviembre,Departamento,Inmobiliaria,,,2,2,1,0,67000,,0,,cb,otro,depto,1-2,1-2,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
1362,rld,2012,10,7,Cochabamba,norte,dpto queru queru,Departamento,Inmobiliaria,,,2,,1,0,79000,,0,,cb,otro,depto,1-2,ne,ne,ne,ne,11-82,0,0,1,0,0,,,2.00
